time,poa_global,poa_direct,poa_diffuse,temp_air,wind_speed
2021-01-01 00:02:00+00:00,0.0,0.0,0.0,20.25,7.1
2021-01-01 01:02:00+00:00,0.0,0.0,0.0,19.52,7.38
2021-01-01 02:02:00+00:00,0.0,0.0,0.0,18.67,7.31
2021-01-01 03:02:00+00:00,0.0,0.0,0.0,17.92,6.55
2021-01-01 04:02:00+00:00,56.24,15.72,40.52,17.75,5.72
2021-01-01 05:02:00+00:00,103.54,2.59,100.95,18.92,6.62
2021-01-01 06:02:00+00:00,267.34,36.49,230.85,20.92,7.17
2021-01-01 07:02:00+00:00,458.96000000000004,129.24,329.72,22.44,7.72
2021-01-01 08:02:00+00:00,311.99,4.74,307.25,23.94,7.79
2021-01-01 09:02:00+00:00,406.11,14.66,391.45,25.58,7.38
2021-01-01 10:02:00+00:00,574.8000000000001,94.96,479.84000000000003,27.19,6.76
2021-01-01 11:02:00+00:00,526.3,59.13,467.16999999999996,28.23,6.28
2021-01-01 12:02:00+00:00,656.31,282.34,373.97,29.31,5.93
2021-01-01 13:02:00+00:00,602.47,284.63,317.84,29.82,5.66
2021-01-01 14:02:00+00:00,347.99000000000007,44.35,303.64000000000004,30.02,5.66
2021-01-01 15:02:00+00:00,476.8,344.74,132.06,29.68,6.07
2021-01-01 16:02:00+00:00,361.05,267.72,93.33,28.78,6.76
2021-01-01 17:02:00+00:00,5.3,0.0,5.3,26.81,7.03
2021-01-01 18:02:00+00:00,0.0,0.0,0.0,24.28,8.0
2021-01-01 19:02:00+00:00,0.0,0.0,0.0,22.56,8.83
2021-01-01 20:02:00+00:00,0.0,0.0,0.0,20.69,8.83
2021-01-01 21:02:00+00:00,0.0,0.0,0.0,19.06,8.55
2021-01-01 22:02:00+00:00,0.0,0.0,0.0,17.5,8.0
2021-01-01 23:02:00+00:00,0.0,0.0,0.0,16.32,7.59
2021-01-02 00:02:00+00:00,0.0,0.0,0.0,15.46,6.9
2021-01-02 01:02:00+00:00,0.0,0.0,0.0,15.09,6.07
2021-01-02 02:02:00+00:00,0.0,0.0,0.0,14.83,5.93
2021-01-02 03:02:00+00:00,0.0,0.0,0.0,14.85,5.45
2021-01-02 04:02:00+00:00,133.53,79.8,53.73,15.36,4.9
2021-01-02 05:02:00+00:00,329.24,201.27,127.97,16.89,4.9
2021-01-02 06:02:00+00:00,494.23,368.6,125.63,18.39,4.9
2021-01-02 07:02:00+00:00,583.15,427.45,155.7,21.72,6.48
2021-01-02 08:02:00+00:00,580.26,224.71,355.55,23.54,7.1
2021-01-02 09:02:00+00:00,504.12999999999994,63.65,440.47999999999996,24.62,7.1
2021-01-02 10:02:00+00:00,510.94,52.05,458.89,25.79,7.45
2021-01-02 11:02:00+00:00,468.66999999999996,31.68,436.98999999999995,26.36,8.14
2021-01-02 12:02:00+00:00,226.68,0.0,226.68,24.5,8.28
2021-01-02 13:02:00+00:00,229.33,0.0,229.33,22.87,7.52
2021-01-02 14:02:00+00:00,207.24,0.78,206.46,21.25,6.14
2021-01-02 15:02:00+00:00,169.42000000000002,4.78,164.64000000000001,20.76,5.24
2021-01-02 16:02:00+00:00,252.81,127.42,125.39,20.02,3.66
2021-01-02 17:02:00+00:00,108.96000000000001,79.53,29.43,19.52,2.62
2021-01-02 18:02:00+00:00,0.0,0.0,0.0,19.14,2.9
2021-01-02 19:02:00+00:00,0.0,0.0,0.0,18.09,4.07
2021-01-02 20:02:00+00:00,0.0,0.0,0.0,17.89,4.0
2021-01-02 21:02:00+00:00,0.0,0.0,0.0,17.56,4.28
2021-01-02 22:02:00+00:00,0.0,0.0,0.0,17.25,4.34
2021-01-02 23:02:00+00:00,0.0,0.0,0.0,16.85,4.28
2021-01-03 00:02:00+00:00,0.0,0.0,0.0,16.75,4.07
2021-01-03 01:02:00+00:00,0.0,0.0,0.0,16.69,3.79
2021-01-03 02:02:00+00:00,0.0,0.0,0.0,16.65,3.45
2021-01-03 03:02:00+00:00,0.0,0.0,0.0,16.42,3.1
2021-01-03 04:02:00+00:00,9.700000000000001,0.0,9.700000000000001,16.44,2.76
2021-01-03 05:02:00+00:00,53.81,0.0,53.81,16.62,2.76
2021-01-03 06:02:00+00:00,79.39,0.0,79.39,16.91,2.97
2021-01-03 07:02:00+00:00,143.77,0.0,143.77,16.85,3.38
2021-01-03 08:02:00+00:00,287.76,2.7,285.06,17.25,3.93
2021-01-03 09:02:00+00:00,173.76000000000002,0.0,173.76000000000002,17.51,3.38
2021-01-03 10:02:00+00:00,459.75,29.07,430.68,17.84,3.24
2021-01-03 11:02:00+00:00,315.3,1.24,314.06,18.18,2.69
2021-01-03 12:02:00+00:00,302.99999999999994,1.28,301.71999999999997,18.25,2.48
2021-01-03 13:02:00+00:00,353.17,18.51,334.66,18.33,2.21
2021-01-03 14:02:00+00:00,142.88,0.0,142.88,18.63,2.07
2021-01-03 15:02:00+00:00,206.46,17.15,189.31,18.79,2.14
2021-01-03 16:02:00+00:00,79.25,1.42,77.83,19.01,2.14
2021-01-03 17:02:00+00:00,6.18,0.0,6.18,18.65,2.07
2021-01-03 18:02:00+00:00,0.0,0.0,0.0,17.9,1.72
2021-01-03 19:02:00+00:00,0.0,0.0,0.0,17.95,1.86
2021-01-03 20:02:00+00:00,0.0,0.0,0.0,17.69,1.86
2021-01-03 21:02:00+00:00,0.0,0.0,0.0,17.36,1.72
2021-01-03 22:02:00+00:00,0.0,0.0,0.0,17.06,1.59
2021-01-03 23:02:00+00:00,0.0,0.0,0.0,17.0,1.59
2021-01-04 00:02:00+00:00,0.0,0.0,0.0,16.89,1.59
2021-01-04 01:02:00+00:00,0.0,0.0,0.0,17.07,1.59
2021-01-04 02:02:00+00:00,0.0,0.0,0.0,16.99,1.72
2021-01-04 03:02:00+00:00,0.0,0.0,0.0,17.02,1.86
2021-01-04 04:02:00+00:00,6.18,0.0,6.18,16.98,2.07
2021-01-04 05:02:00+00:00,22.05,0.0,22.05,17.36,2.21
2021-01-04 06:02:00+00:00,155.36,0.91,154.45000000000002,17.96,2.62
