Latitude (decimal degrees): -30.132
Longitude (decimal degrees): 24.135
Elevation (m): 1199.0
Irradiance Time Offset (h): 0.0452
month,year
12,006
22,021
32,012
42,017
52,023
62,008
72,023
82,008
92,017
102,007
112,015
122,012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,21.22,70.16,0.0,-0.0,0.0,372.19,5.0,49.0,87960.0
20060101:0100,20.3,75.37,0.0,-0.0,0.0,374.36,4.73,42.0,87940.0
20060101:0200,19.37,80.59,0.0,-0.0,0.0,376.53,4.45,34.0,87920.0
20060101:0300,18.45,85.81,0.0,-0.0,0.0,378.7,4.18,23.0,87940.0
20060101:0400,17.52,91.02,14.0,0.0,14.0,380.87,3.91,7.0,87960.0
20060101:0500,16.6,96.24,73.0,0.0,73.0,383.04,3.63,350.0,88020.0
20060101:0600,15.68,100.0,326.0,134.75,256.0,385.21,3.36,341.0,88050.0
20060101:0700,14.75,100.0,602.0,437.74,297.0,387.38,3.08,342.0,88000.0
20060101:0800,20.89,78.5,796.0,584.58,305.0,395.95,3.59,336.0,88000.0
20060101:0900,23.06,64.2,987.0,823.04,214.0,392.3,3.38,326.0,87980.0
20060101:1000,24.04,58.1,976.0,653.94,330.0,396.75,3.1,317.0,87950.0
20060101:1100,25.68,49.3,993.0,710.38,295.0,388.6,3.31,307.0,87910.0
20060101:1200,25.65,50.95,935.0,726.43,264.0,393.45,3.52,299.0,87890.0
20060101:1300,25.75,49.3,635.0,283.35,404.0,397.7,3.52,293.0,87840.0
20060101:1400,26.05,49.3,596.0,517.61,252.0,393.85,3.52,289.0,87780.0
20060101:1500,26.18,46.15,447.0,643.11,137.0,387.45,3.24,275.0,87750.0
20060101:1600,25.67,47.65,22.0,0.0,22.0,386.45,2.97,247.0,87740.0
20060101:1700,24.71,50.8,34.0,138.42,24.0,384.35,2.07,208.0,87760.0
20060101:1800,23.64,58.0,0.0,-0.0,0.0,373.3,1.31,184.0,87830.0
20060101:1900,22.32,66.35,0.0,-0.0,0.0,362.1,1.79,116.0,87890.0
20060101:2000,21.3,73.35,0.0,-0.0,0.0,357.45,2.41,106.0,87980.0
20060101:2100,20.79,75.85,0.0,-0.0,0.0,362.85,2.76,101.0,87990.0
20060101:2200,20.08,78.45,0.0,-0.0,0.0,353.75,3.52,98.0,88010.0
20060101:2300,19.41,81.1,0.0,-0.0,0.0,350.1,3.45,90.0,88000.0
20060102:0000,19.13,81.1,0.0,-0.0,0.0,354.15,2.62,83.0,87960.0
20060102:0100,18.52,86.75,0.0,-0.0,0.0,341.1,2.28,84.0,87920.0
20060102:0200,17.93,89.75,0.0,-0.0,0.0,335.55,2.21,86.0,87930.0
20060102:0300,17.4,92.85,0.0,-0.0,0.0,333.45,2.21,92.0,87960.0
20060102:0400,17.3,92.85,75.0,354.06,36.0,333.05,2.0,96.0,87970.0
20060102:0500,19.57,81.1,291.0,663.44,80.0,337.3,2.07,79.0,88020.0
20060102:0600,21.33,73.35,514.0,780.55,110.0,352.4,1.66,52.0,88010.0
20060102:0700,23.52,64.3,731.0,874.6,123.0,360.35,0.48,48.0,87980.0
20060102:0800,24.92,58.35,884.0,847.73,173.0,370.6,0.21,71.0,87970.0
20060102:0900,26.26,52.95,1012.0,892.99,174.0,376.2,0.28,51.0,87950.0
20060102:1000,27.36,49.7,1008.0,729.11,288.0,387.45,0.48,354.0,87910.0
20060102:1100,27.78,48.15,616.0,100.75,517.0,396.15,0.55,335.0,87880.0
20060102:1200,28.56,46.65,1014.0,950.13,136.0,396.75,0.55,312.0,87810.0
20060102:1300,28.73,43.65,854.0,838.33,170.0,397.5,0.48,275.0,87750.0
20060102:1400,28.99,42.2,248.0,4.51,245.0,396.35,0.9,186.0,87660.0
20060102:1500,27.3,46.4,56.0,0.0,56.0,385.3,2.41,123.0,87660.0
20060102:1600,24.75,58.35,23.0,0.0,23.0,382.8,2.76,52.0,87670.0
20060102:1700,23.88,62.25,38.0,191.76,24.0,378.35,2.55,18.0,87650.0
20060102:1800,22.51,71.05,0.0,-0.0,0.0,359.55,1.66,12.0,87660.0
20060102:1900,22.15,73.55,0.0,-0.0,0.0,353.95,3.1,344.0,87720.0
20060102:2000,21.24,78.55,0.0,-0.0,0.0,359.0,3.66,2.0,87760.0
20060102:2100,20.42,83.95,0.0,-0.0,0.0,349.3,2.48,18.0,87760.0
20060102:2200,19.81,83.95,0.0,-0.0,0.0,345.25,2.14,36.0,87740.0
20060102:2300,19.37,83.9,0.0,-0.0,0.0,344.65,2.28,47.0,87720.0
20060103:0000,18.97,86.8,0.0,-0.0,0.0,341.55,2.28,61.0,87720.0
20060103:0100,18.56,89.75,0.0,-0.0,0.0,338.2,2.21,79.0,87700.0
20060103:0200,18.27,89.75,0.0,-0.0,0.0,340.0,2.14,92.0,87690.0
20060103:0300,17.99,92.85,0.0,-0.0,0.0,338.3,2.21,100.0,87700.0
20060103:0400,18.13,89.75,73.0,352.47,35.0,338.5,2.28,94.0,87720.0
20060103:0500,20.14,83.95,288.0,658.53,80.0,342.15,2.9,72.0,87750.0
20060103:0600,22.43,73.55,511.0,769.91,114.0,353.75,3.24,50.0,87760.0
20060103:0700,24.83,60.35,727.0,865.09,127.0,368.1,2.62,41.0,87720.0
20060103:0800,26.35,54.8,905.0,917.02,137.0,370.4,2.76,35.0,87690.0
20060103:0900,27.63,51.45,1030.0,946.01,143.0,381.85,2.76,32.0,87650.0
20060103:1000,28.54,45.05,1098.0,972.51,138.0,389.95,2.69,38.0,87580.0
20060103:1100,29.96,36.95,1110.0,1010.54,117.0,396.75,2.76,52.0,87510.0
20060103:1200,29.17,39.35,1018.0,954.08,136.0,394.6,4.62,31.0,87510.0
20060103:1300,25.47,54.55,876.0,907.48,135.0,392.65,4.34,16.0,87560.0
20060103:1400,26.83,46.25,691.0,849.52,125.0,398.3,1.72,20.0,87430.0
